n,country,code,region,ims_2005,ims_2010,ims_2015,nmi_2012,nmi_2017,swm_2015,swm_2019,lngdppc_2005,lngdppc_2010,lngdppc_2015,lngdppc_2016,lngdppc_2017,lngdppc_2018,lngdppc_2019,geduc_2005,geduc_2010,geduc_2015,geduc_2016,geduc_2017,geduc_2018,geduc_2019,unem_2005,unem_2010,unem_2015,unem_2016,unem_2017,unem_2018,unem_2019,edb_2019,timebuss_2005,timebuss_2010,timebuss_2015,timebuss_2016,timebuss_2017,timebuss_2018,timebuss_2019,gef_2005,gef_2010,gef_2015,gef_2016,gef_2017,gef_2018,gef_2019,psa_2005,psa_2010,psa_2015,psa_2016,psa_2017,psa_2018,psa_2019,req_2005,req_2010,req_2015,req_2016,req_2017,req_2018,req_2019,rlw_2005,rlw_2010,rlw_2015,rlw_2016,rlw_2017,rlw_2018,rlw_2019,vacc_2005,vacc_2010,vacc_2015,vacc_2016,vacc_2017,vacc_2018,vacc_2019,cci_2005,cci_2010,cci_2015,cci_2016,cci_2017,cci_2018,cci_2019,efi_2005,efi_2010,efi_2015,efi_2016,efi_2017,efi_2018,efi_2019,ecfif_2005,ecfif_2010,ecfif_2015,ecfif_2016,ecfif_2017,ecfif_2018,pw,ind,msc,una,lto,idu,inmp_lower05,inmp_raise05,inmp_lower09,inmp_raise09,inmp_lower15,inmp_raise15,retp_yes15,pop_2005,lgpop_2005,pop_2010,lgpop_2010,pop_2014,pop_2015,lgpop_2015,pop_2017,pop_2018,pop_2019,p1564_2005,p1564_2010,p1564_2015,p1564_2016,p1564_2017,p1564_2018,p1564_2019,namerica,easia,ecasia,africame,sasia,ssafrica,asia,europe,africa,pacific,langpr,langfr,infl_2005,infl_2010,infl_2012,infl_2013,infl_2014,infl_2015,infl_2016,infl_2017,infl_2018,infl_2019,islam,unaff,hinduism,relgothers,govfcexp_2015,govfcexp_2016,govfcexp_2017,govfcexp_2018,govfcexp_2019,currenthexp_2015,currenthexp_2016,currenthexp_2017,currenthexp_2018,democracy_2005,demcr_high05,democracy_2010,demcr_high10,democracy_2015,demcr_high15,hief_2005,hief_2010,hief_2013,agedem_2015,mwg_2010,ppp_2005,ppp_2006,ppp_2007,ppp_2008,ppp_2009,ppp_2010,ppp_2011,ppp_2012,ppp_2013,ppp_2014,ppp_2015,ppp_2016,ppp_2017,ppp_2018,ppp_2019,more_demreg,oilrent_2005,oilrent_2010,oilrent_2015,refugpop05,refugpop10,refugpop15,lgrefug_2005,lgrefug_2010,lgrefug_2015,gexp_imf05,gexp_imf10,gexp_imf15,vulemp_2005,vulemp_2010,vulemp_2015,primenr_2005,primenr_2010,primenr_2015,seconer_2005,seconer_2010,seconer_2015,tertenr_2005,tertenr_2010,tertenr_2015,natresour_05,natresour_10,natresour_15,natdis_2005,natdis_2010,natdis_2015,cpi_2015,cpi_2018,life_expb05,life_expb10,life_expb15,rcatexp_sg05,rcatexp_sg10,rcatexp_sg15,contrprev_05,contrprev_10,contrprev_15,ginirank,ginival,tour_arr2005,tour_arr2010,tour_arr2015,richoil_2015,remrec_2015
36,Canada,CAN,North America,18.84586509,20.54501101,21.80166365,1241416,1210159,69.5,67.6,10.65175102,10.71654658,10.77416181,10.77280246,10.79207465,10.79803151,10.80021578,4.782149792,5.36992979,NA,NA,NA,NA,NA,6.757999897,8.055999756,6.906000137,6.906000137,6.340000153,5.830999851,5.56400013,23,3.5,5.5,1.5,1.5,1.5,1.5,1.5,1.887422,1.783194,1.762081,1.781461,1.85416,1.716108,1.731643,0.8296181,0.9363182,1.274698,1.256059,1.101824,0.9860873,1.029905,1.566931,1.695867,1.717661,1.73882,1.886527,1.706835,1.716097,1.661659,1.805715,1.84206,1.841111,1.801197,1.755445,1.75994,1.506879,1.352596,1.467126,1.445155,1.476375,1.526058,1.462505,1.879261,2.069799,1.886581,1.989901,1.92428,1.828014,1.766974,75.8,80.4,79.1,78,78.5,77.7,77.7,8.26,8.18,8.19,8.24,8.26,8.17,39,80,52,48,36,68,0,1,0,1,0,0,0,32243753,17.28883488,34714222,17.34201487,35437435,35702908,17.3907427,36543321,37057765,37589262,69.20650153,69.35777322,67.95488432,67.64695567,67.28747162,66.89774245,66.50620337,1,0,0,0,0,0,0,0,0,0,0.053,56,2.213552034,1.776871541,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547,1.596884129,2.268225672,1.949269024,0,0,0,0,20.87782513,21.04804019,20.74389556,20.94524106,21.16648538,10.68328094,10.97903442,10.78964806,10.79046917,10,1,10,1,10,1,71.9,72.5,73,149,1070.6,1.218,1.213,1.22,1.244,1.206,1.226,1.24,1.245,1.224,1.23,1.248,1.207,1.205,1.198,1.199,1,1.666479948,1.46919263,0.038191728,147164,165544,135890,11.89930289,12.0169923,11.81960101,38.521,43.064,40.018,10.22999969,10.7900003,10.63000023,97.36457062,98.64160156,102.4850769,101.3911896,102.3984833,110.3565292,NA,61.65584946,64.78695679,4.570318421,2.576912331,0.772086438,6.999999976,11.00000008,0,83,81,80.19268293,81.24634146,81.9,0.7,0.4,0.3,NA,NA,NA,107,34,16.74782368,16.60169395,16.70426991,0,0.081886202
37,Cayman Islands,CYM,Latin America & Caribbean,44.53653621,43.33891801,39.56509414,NA,NA,NA,NA,NA,11.10889032,11.11419167,11.13248052,11.15012461,11.17814255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.292862,1.251719,1.166785,1.182226,1.226461,1.204366,1.169394,1.193962,1.149638,1.153418,1.168496,1.190547,1.14567,1.4457,1.360657,1.15917,0.8151542,0.7873485,0.7532902,0.9764076,0.9827613,0.8572026,0.9007724,0.8168695,0.7974365,0.7765479,0.7738547,0.7690086,0.9037812,0.5776708,0.4691604,0.4749393,0.4848245,0.4921223,0.4956726,1.278153,1.127209,1.019122,0.528993,0.5268484,0.496426,0.4661654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49261,10.80488797,58958,10.94503554,60848,61724,11.03042811,63382,64174,64948,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.053,56,NA,0.276140862,1.188948452,2.160611468,1.273979115,-2.347527702,-0.625258359,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,10,NA,NA,2.302585093,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.80113983,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,82.1902439,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.03171926,12.57071576,12.86099861,0,NA
38,Central African Republic,CAF,Sub-Saharan Africa,2.328849337,2.102734932,1.665172192,-396129,-200000,64.7,66.7,6.934312882,7.091202348,6.748465749,6.785016201,6.816519047,6.838522612,6.851045334,1.652220011,1.117609978,NA,NA,NA,NA,NA,3.895999908,3.927000046,3.864000082,3.864000082,3.74000001,3.664000034,3.680000067,184,22,24,22,22,22,22,22,-1.564509,-1.387743,-1.78465,-1.771704,-1.765036,-1.720417,-1.747201,-1.430053,-2.020625,-1.904765,-1.789267,-2.006213,-2.171953,-2.182968,-1.340983,-1.159351,-1.439941,-1.427307,-1.48077,-1.367176,-1.372812,-1.453295,-1.294276,-1.684804,-1.816499,-1.731486,-1.687227,-1.728386,-0.9943755,-1.104218,-1.225521,-1.082307,-1.107356,-1.191068,-1.201646,-1.278493,-0.9296519,-1.308061,-1.280002,-1.173228,-1.233546,-1.22844,56.5,48.4,45.9,45.2,51.8,49.2,49.1,5.1,5.31,4.78,5.22,5.15,5.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4038382,15.21135467,4436415,15.2941033,4464175,4493170,15.31806902,4596028,4666377,4745185,53.21383663,52.91946143,51.96418119,52.21238314,52.52216971,52.87990574,53.26519409,0,0,0,0,0,1,0,0,1,0,0.012,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,14.77679854,14.40810862,14.06703431,14.2027423,14.9854307,5.03434181,5.44402361,6.66541529,10.99253082,-1,0,-1,0,0,0,79.2,79.1,79,0,NA,234.288,234.195,229.358,237.338,244.656,252.021,256.761,262.129,254.347,290.945,283.524,280.048,286.829,283.786,285.382,0,0,0,0,24564,21568,7332,10.10903724,9.978966014,8.900003609,16.156,17.259,13.964,92.98999786,92.09000015,92.65000153,63.89601135,87.33161163,NA,NA,NA,NA,NA,2.671149969,NA,8.505942864,7.943402497,13.45765211,1.000000001,2.999999997,1,24,26,44.744,47.312,50.881,NA,NA,NA,NA,15.2,NA,5,56.2,9.392661929,10.89302875,11.69940503,0,NA
39,Chad,TCD,Sub-Saharan Africa,3.496865096,3.504629139,3.682771371,100000,10000,66.8,68.8,7.389030232,7.45743114,7.526775361,7.430738287,7.369620292,7.362847452,7.364943829,1.694769979,1.981940031,NA,NA,2.454819918,NA,NA,1.264000058,1.570000052,1.832999945,1.832999945,1.84800005,1.838000059,1.891000032,182,62,62,60,60,60,58,58,-1.383892,-1.466302,-1.461036,-1.511895,-1.469803,-1.528847,-1.568404,-1.443999,-1.524828,-0.9745526,-1.302365,-1.28733,-1.47283,-1.340024,-1.236425,-1.068313,-1.210751,-1.180022,-1.210235,-1.110758,-1.119248,-1.510952,-1.503324,-1.183278,-1.37793,-1.295343,-1.304976,-1.283358,-1.307716,-1.360329,-1.33518,-1.362297,-1.370252,-1.452716,-1.41773,-1.506754,-1.381054,-1.363967,-1.487879,-1.432375,-1.410568,-1.420567,52.1,47.5,45.9,46.3,49,49.3,49.9,5.54,5.63,5.33,5.44,5.54,5.71,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,10096633,16.12771256,12784750,16.29642057,13663559,14110975,16.46246342,15016773,15477751,15946876,48.15820284,48.67871316,49.71862681,49.90749681,50.13270845,50.39318107,50.68741364,0,0,0,0,0,1,0,0,1,0,0.012,22,7.890365675,-2.077865746,7.516623647,0.222671565,1.681973139,4.377126651,-0.792440525,-1.53709963,4.274621986,-0.971939175,1,0,0,0,5.1450878,4.211686912,4.32522476,3.603393277,3.587512578,4.52395248,4.90541553,4.40445328,4.09880257,-2,0,-2,0,-2,0,85.5,85.5,85.5,0,110.66,225.208,240.287,242.019,257.769,231.563,243.081,258.131,285.354,308.42,300.386,252.075,246.884,243.655,243.422,242.855,0,34.41055637,21.00164808,7.550632367,275412,347931,369538,12.52602344,12.75975946,12.82000886,11.51,24.354,18.34,90.90999889,90.07000256,90.30000019,71.61457062,81.91847992,91.58312988,15.64002037,22.58856964,22.41506004,1.420699954,2.096060038,3.251300097,38.02556062,24.76702265,13.36028264,0,24.00000011,0,22,19,48.549,50.89,53.137,29.8,73.8,65,NA,4.8,5.7,39,43.3,NA,11.17043516,11.69357896,0,NA
40,Channel Islands,CHI,Europe & Central Asia,45.97661668,48.61482739,50.28162647,3570,6754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.001000404,8.397999763,8.083999634,8.083999634,7.622000217,7.409999847,7.486999989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151678,11.92951513,162056,11.98126521,164100,165385,12.01603137,168665,170499,172259,68.74431361,69.07483692,68.03337667,67.83666721,67.67497703,67.51417897,67.33116992,0,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8300004,10.61000025,10.3299998,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,80.298,81.483,82.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Chile,CHL,Latin America & Caribbean,1.698398994,2.171231019,2.615513217,163730,558539,80.8,81,9.799210108,9.931132228,10.07042741,10.07414154,10.07170534,10.09652853,10.09518794,3.262830019,4.162089825,4.875309944,5.342010021,5.41945982,NA,NA,9.340000153,8.423999786,6.507999897,6.507999897,6.958000183,7.232999802,7.090000153,59,42,36.5,7.5,7.5,7.5,6,4,1.23629,1.27253,1.086102,1.010753,0.8435157,1.084034,1.06042,0.8446506,0.6796045,0.4334392,0.4131105,0.4170224,0.4351017,0.2063824,1.357459,1.438484,1.345232,1.373064,1.335125,1.33739,1.224169,1.304793,1.33554,1.344083,1.129269,1.011737,1.089803,1.073613,1.292521,1.095609,1.004488,0.9956857,0.9994025,1.056807,1.019602,1.470515,1.497289,1.27997,1.140054,1.039302,1.046754,1.088457,77.8,77.2,78.5,77.7,76.5,75.2,75.4,7.85,7.94,7.92,7.92,7.92,7.96,63,23,28,86,31,68,0,0,0,0,0,0,1,16182721,16.59945463,17400347,16.65239574,17758959,17969353,16.70417825,18470439,18729160,18952038,66.90124609,68.55618649,68.83656301,68.82224834,68.78390925,68.71629587,68.62418701,0,0,0,0,0,0,0,0,0,0,0.059,20,3.052576214,1.41071108,3.007448402,1.78955554,4.718675279,4.348773532,3.786193559,2.182718469,2.434889814,2.557544757,0,0,0,0,12.99389253,13.77981795,14.10986643,14.51080447,14.59104328,8.30269146,8.51866722,9.06820488,9.14051342,9,1,10,1,10,1,45.1,44.4,43.9,26,NA,281.576,306.609,314.289,307.816,319.602,344.454,348.017,347.228,349.681,367.214,391.361,409.978,411.264,411.063,414.593,0,0.033903217,0.028974202,0.015163399,807,1613,1840,6.693323668,7.385851078,7.517520851,20.136,23.348,24.885,26.97000051,21.81000018,21.49999928,104.5610809,103.7504807,100.6848373,93.49674988,90.00818634,101.7809296,49.36883926,67.86342621,85.26672363,13.31413604,18.10425322,12.22416048,57.99999998,507.9999958,221.0000022,70,67,77.63,78.779,79.646,22.4,12.3,7.4,NA,NA,NA,26,46.6,14.52206743,14.84548705,15.31468708,0,0.024185158
42,China,CHN,East Asia & Pacific,0.052002656,0.063376645,0.071076396,-1552209,-1741996,66.9,68,8.581977927,9.092073373,9.448713093,9.509542519,9.571116382,9.631874732,9.687609042,NA,NA,NA,NA,NA,NA,NA,4.514999866,4.526000023,4.629000187,4.629000187,4.440999985,4.276000023,4.320000172,31,NA,NA,29.3,26.9,22.9,8.5,8.5,-0.1199866,0.0886487,0.4078639,0.3548748,0.4204699,0.4771284,0.5182531,-0.501789,-0.6570607,-0.5502946,-0.499395,-0.2310128,-0.2912534,-0.2403826,-0.1500192,-0.234011,-0.2894387,-0.2644748,-0.1476175,-0.1852444,-0.2446144,-0.5890847,-0.409916,-0.4097969,-0.3344146,-0.2629562,-0.2017475,-0.2747186,-1.500785,-1.680548,-1.660777,-1.559632,-1.503042,-1.447654,-1.612372,-0.6087338,-0.5616429,-0.2821073,-0.2540594,-0.2699407,-0.2712651,-0.3234968,53.7,51,52.7,52,57.4,57.8,58.4,5.86,6.04,6.22,6.25,6.26,6.21,80,20,66,30,87,24,NA,NA,0,1,0,1,1,1303720000,20.98848755,1350695000,21.0142213,1364270000,1371220000,21.03896669,1386395000,1392730000,1397715000,72.16407974,73.26558948,72.61433377,72.20275277,71.71751844,71.20211371,70.72329863,0,1,0,0,0,0,1,0,0,0,0.174,1,1.776416168,3.175327981,2.619526165,2.621049027,1.921643416,1.437024514,2,1.593137255,2.074788902,2.899235799,0,1,0,0,16.21788677,16.36375556,16.32486222,16.53580834,16.71256685,4.8887229,4.98188066,5.15119171,5.35107994,-7,0,-7,0,-7,0,16.8,18.1,19,0,265.67,2.868,2.89,3.034,3.192,3.165,3.325,3.524,3.561,3.664,3.759,3.871,3.989,4.184,4.228,4.253,0,2.260074087,1.242734045,0.337199481,301039,300984,301044,12.6149951,12.61481239,12.61501171,18.267,25.094,31.605,55.37000084,49.01000023,45.40999889,NA,98.96421814,96.31860352,NA,88.17340088,NA,19.08699989,24.19849014,46.04042816,5.205681936,6.377627915,1.357421916,748.0653531,7086.79205,494.8761871,37,39,72.985,74.409,75.928,62.5,34.3,13.3,NA,89.1,NA,68,38.6,17.66158605,17.83484418,17.85655982,0,0.401799791
43,Colombia,COL,Latin America & Caribbean,0.24860903,0.270636192,0.276047227,-193380,1023981,55.9,67.5,9.225252961,9.384450545,9.563640495,9.570622947,9.568987517,9.578587266,9.597101377,4.020989895,4.83382988,4.470389843,4.477210045,4.535510063,4.457489967,NA,11.86999989,10.98400021,8.298999786,8.298999786,8.871999741,9.111000061,9.706999779,67,41,11,12,11,11,11,10,-0.1780718,-0.0592384,-0.0361266,0.0154443,-0.0738818,-0.0852262,0.0712232,-2.056107,-1.537185,-1.069147,-0.8824593,-0.7726035,-0.7874593,-0.900254,0.0079865,0.2534749,0.4654272,0.4020093,0.3409346,0.3173888,0.3966121,-0.6232535,-0.3085898,-0.2684166,-0.2787975,-0.3600142,-0.4063349,-0.4169289,-0.3225214,-0.1323792,0.0039271,0.1218224,0.1120687,0.1903,0.2294835,-0.1322573,-0.385391,-0.2981746,-0.3242517,-0.3700264,-0.2874098,-0.2291671,59.6,65.5,71.7,70.8,69.7,68.9,67.3,6.48,6.72,6.62,6.68,6.68,6.71,67,13,64,80,13,83,0,0,0,0,0,0,1,42647731,17.56848463,46075721,17.62710971,46967706,47520667,17.67667527,48909844,49661056,50339443,63.84286683,66.14505989,67.77563749,68.0179463,68.24399892,68.444057,68.61338533,0,0,0,0,0,0,0,0,0,0,0.059,20,5.051420287,2.271183264,3.167325603,2.018098479,2.897818744,4.990234275,7.514293228,4.312141032,3.240234138,3.525492736,0,0,0,0,14.81162979,14.54128472,14.88064263,15.404222,15.43288641,7.52338552,7.53117037,7.67864275,7.63980007,7,1,7,1,7,1,64.3,64.1,63.9,58,426.35,951.914,977.609,1001.561,1057.877,1092.543,1121.046,1168.243,1203.585,1206.679,1220.607,1276.479,1285.21,1314.787,1341.529,1374.514,0,4.915604794,4.380343358,2.712069872,152,198,212,5.023880521,5.288267031,5.356586275,25.889,30.35,31.277,46.46999884,48.27000141,46.87000179,121.526619,120.3232117,115.2318878,82.86219788,97.54611969,94.7192688,30.69215965,39.41331863,53.28213882,6.418579358,6.623229584,4.108810717,135.0000015,354.0000032,174.0000006,37,36,74.265,75.424,76.531,15.4,14.7,9.3,78.2,79.1,81,16,49.7,13.74616048,14.15554786,14.90676249,0,1.594543094
44,Comoros,COM,Sub-Saharan Africa,2.135195076,1.805938213,1.592316297,-10000,-10000,73.1,76.2,7.942963661,7.964950397,7.99278912,8.002355883,8.017061741,8.028402292,8.026009955,NA,NA,2.545059919,NA,NA,NA,NA,4.513000011,4.547999859,4.493000031,4.493000031,4.375,4.302000046,4.335999966,160,30,22,16,16,16,16,16,-1.601033,-1.743063,-1.522007,-1.552775,-1.566743,-1.639134,-1.669198,-0.435432,-0.5629393,-0.2327915,0.0357599,0.0360746,-0.3374451,-0.1486754,-1.505809,-1.423614,-1.029055,-1.049556,-1.037488,-1.11087,-1.119256,-0.9953502,-1.046386,-0.8152064,-0.9985093,-1.054814,-1.080873,-1.087503,-0.630451,-0.4222873,-0.2911683,-0.2902683,-0.3356589,-0.478406,-0.6893845,-0.8848742,-0.8069158,-0.7191136,-0.6658682,-0.6849652,-0.8165069,-1.02035,NA,44.9,52.1,52.4,55.8,56.2,55.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611627,13.3238779,723871,13.4440004,759390,777424,13.56374117,813892,832322,850886,54.73139675,56.00586929,56.96479656,57.09911613,57.26460022,57.45456686,57.65872279,0,0,0,0,0,1,0,0,1,0,0.045,19,3.013323951,3.354757703,6.314744503,-4.294873315,NA,NA,NA,NA,NA,NA,1,0,0,0,10.59190468,10.61491606,10.82377663,10.31880527,10.26242466,4.73517609,4.70250511,4.64801407,4.58884811,6,1,9,1,9,1,5.6,5.5,5.4,10,125.71,202.368,208.114,212.874,215.378,215.856,216.944,218.978,213.964,211.5,206.343,203.344,197.571,190.126,187.45,192.614,0,0,0,0,NA,NA,NA,NA,NA,NA,11.731,13.267,19.06,64.59999847,61.05000114,57.68999815,NA,NA,NA,NA,NA,NA,NA,5.782959938,NA,1.281634052,1.593775545,2.514629204,1.000000002,0,0,26,27,60.126,61.862,63.471,63.9,64.5,56.1,NA,NA,NA,31,45.3,10.16199825,9.635608107,10.06900199,0,13.65030752
45,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,1.110490556,0.893177895,0.706246281,15060,119303,63.7,71.4,6.657969858,6.763519977,6.970957667,6.961838984,6.965845657,6.990158614,7.001199039,NA,1.524979949,2.170439959,2.118690014,1.454949975,NA,NA,2.848999977,3.976999998,4.406000137,4.406000137,4.272999763,4.19299984,4.236000061,183,133.5,84.5,11.5,11.5,7,7,7,-1.5719,-1.735644,-1.629201,-1.510932,-1.63523,-1.554787,-1.627429,-2.132514,-2.196742,-2.150854,-2.234622,-2.351179,-2.107878,-1.808007,-1.683722,-1.586182,-1.34549,-1.323978,-1.465562,-1.474025,-1.509667,-1.553693,-1.62074,-1.572547,-1.618508,-1.689818,-1.783715,-1.786088,-1.521638,-1.409103,-1.303906,-1.409874,-1.459709,-1.495177,-1.365966,-1.418278,-1.437921,-1.285265,-1.337323,-1.418138,-1.503585,-1.538931,NA,NA,NA,NA,NA,NA,50.3,4.66,5.55,5.6,5.76,4.99,5.15,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,54785903,17.81894347,69020747,17.98316528,73767447,76244544,18.14945642,81398764,84068091,86790567,51.25513948,50.86833881,50.63821747,50.63351317,50.69676857,50.81651729,50.98166141,0,0,0,0,0,1,0,0,1,0,NA,NA,21.31681672,7.1,9.721828063,0.808223101,1.243038898,0.744198995,2.885851073,NA,NA,NA,0,0,0,0,9.056194741,8.679577104,6.074785083,6.417415364,6.544999962,3.99593234,4.36690283,4.15728664,3.30075741,4,1,5,1,5,1,70.6,70.5,70.4,0,74.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.204059643,2.385518679,0.39880676,204341,166333,383095,12.22754545,12.02174708,12.85603828,8.726,15.921,17.232,88.16999817,83.12999916,78.26000023,NA,99.99916077,107.9770813,NA,41.21020889,46.16579056,NA,NA,NA,23.88021683,32.45840154,31.19600172,14,45.99999999,33.99999997,22,20,53.675,56.909,59.254,94.3,81.7,76,NA,17.7,NA,NA,NA,11.01862914,11.30220443,NA,0,3.07657919
46,"Congo, Rep.",COG,Sub-Saharan Africa,8.998865572,10.32073167,8.505799369,-60000,-20000,65,68.1,8.450599877,8.55968303,8.566393588,8.433519583,8.360374786,8.270509724,8.208796125,1.835770011,6.220789909,4.561470032,NA,5.46505022,3.511049986,NA,19.79599953,13.97200012,9.911999702,9.911999702,9.762999535,9.670000076,9.472000122,180,37.5,158.5,50.5,50.5,49.5,49.5,49.5,-1.270692,-1.227733,-1.022191,-1.096795,-1.198483,-1.217236,-1.387707,-1.166832,-0.3164158,-0.526366,-0.5192695,-0.5316639,-0.339566,-0.8926991,-1.314487,-1.27373,-1.195739,-1.165628,-1.329811,-1.329745,-1.299436,-1.472559,-1.219576,-1.078537,-1.095594,-1.103761,-1.101009,-1.149709,-1.07914,-1.062742,-1.016874,-1.160179,-1.121137,-1.180254,-1.261732,-1.044834,-1.146635,-1.196039,-1.186978,-1.330627,-1.358974,-1.409547,NA,NA,NA,NA,NA,NA,39.7,4.99,4.72,4.83,4.87,5.07,5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,3622775,15.10275086,4510198,15.26799777,4736974,4856095,15.39574517,5110702,5244363,5380508,55.52911787,55.84249453,55.27628681,55.3186953,55.41263957,55.554778,55.7413352,0,0,0,0,0,1,0,0,1,0,0.012,22,3.094490115,0.391525011,5.010187731,4.631616197,0.912139545,3.169097968,3.190561797,0.450063823,1.152778964,2.206073058,0,0,0,0,20.08403892,22.53709377,19.11344556,14.75827522,12.22939507,3.41535068,3.46238065,2.93953753,2.13848233,-4,0,-4,0,-4,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,51.69064998,46.95439222,18.39280107,66075,133099,44952,11.09854574,11.79884849,10.71335053,22.125,22.997,41.288,77.05999708,74.549999,76.25999689,108.5212097,109.160202,NA,NA,NA,NA,NA,NA,NA,55.1210094,50.49852876,24.81902421,1,0,0,23,19,55.6,60.093,63.097,72.6,48.1,47.8,44.3,NA,30.1,NA,NA,10.46310334,11.5228758,12.80215811,0,0.249174526
47,Costa Rica,CRI,Latin America & Caribbean,8.43192651,8.919244235,8.771009911,19658,21000,81,82.9,9.508673194,9.675203115,9.799486777,9.830494281,9.858093083,9.874401287,9.885446045,NA,6.634449959,7.082540035,7.097680092,7.315720081,6.978569984,7.048759937,6.571000099,7.171000004,8.998999596,8.998999596,8.142000198,9.631999969,11.85400009,74,90,73.5,23,22.5,22.5,23,23,0.1561034,0.3081369,0.3756126,0.355468,0.2485956,0.3781868,0.4231587,0.7100678,0.6915372,0.6820255,0.6614283,0.6086774,0.4771462,0.4602174,0.5835223,0.4651055,0.5257646,0.4074337,0.4479403,0.4888904,0.4980351,0.5587041,0.5236668,0.5047452,0.4660427,0.4548208,0.4804583,0.5440922,0.8169585,1.03989,1.151579,1.117966,1.120646,1.141728,1.125299,0.483341,0.7081604,0.7484275,0.7442378,0.4666447,0.5514317,0.722371,66.1,65.9,NA,NA,NA,NA,65.3,7.58,7.4,7.7,7.69,7.65,7.62,35,15,21,86,NA,NA,0,0,0,0,0,0,1,4285502,15.27074826,4688000,15.3366369,4795396,4847804,15.39403638,4949954,4999441,5047561,66.20993293,68.39085608,69.16721468,69.18392152,69.17211756,69.12540822,69.04092888,0,0,0,0,0,0,0,0,0,0,0.059,20,13.79779527,5.662691396,4.495378139,5.231241344,4.519380809,0.801946649,-0.017551757,1.625707485,2.221215313,2.096202566,0,0,0,0,17.47982898,17.20601106,17.17035935,16.90166419,17.39080538,7.82285929,7.5334692,7.32879639,7.56336021,10,1,10,1,10,1,37.6,39,39.8,67,453.19,227.007,249.066,268.103,293.015,319.376,336.441,344.546,353.785,357.828,363.422,364.163,352.897,350.817,351.296,351.228,0,0,0,0,11253,19486,3603,9.328390039,9.877451538,8.189522111,16.658,18.488,19.286,21.14000034,21.35000062,21.14000034,111.8618469,116.8993683,111.2979507,81.59253693,101.0797424,122.7865829,NA,NA,53.05263138,0.972048804,1.646854577,1.09753737,6.000000005,51.00000158,0,55,56,78.117,78.769,79.565,17,11.1,8.9,96,82.2,77.8,19,48.3,14.33370894,14.5574479,14.79383668,0,1.007719737
