obs,country,country_map,code,region,ims,gdp_pc,gov_ed,unem,timebuss,psa,cci,imp,mena,govexp,che,democracy,democracy2,hief,refug,richoil,oilrents
49,Croatia,Croatia,HRV,Europe & Central Asia,13.60471399,24446.6508,NA,16.17499924,22.5,0.590728,0.2452261,Maintain,0,20.12164551,6.78635979,9,2,17.1,518,0,0.191986556
50,Cuba,Cuba,CUB,Latin America & Caribbean,0.117089665,NA,NA,2.400000095,NA,0.6441017,0.0704845,Maintain,0,32.20593805,12.81401348,-7,0,51.7,300,NA,0.439099371
51,Curacao,Curacao,CUW,Latin America & Caribbean,23.92511593,26548.7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,46,0,0
52,Cyprus,Cyprus,CYP,Europe & Central Asia,16.83403415,34375.56372,6.346360207,14.90799999,8,0.5508665,1.007444,Maintain,0,16.35376149,6.92568588,10,3,34.7,7062,0,0
53,Czech Republic,Czech Republic,CZE,Europe & Central Asia,3.84222568,36306.91095,5.788849831,5.046000004,30.5,0.9791891,0.4337359,NA,0,18.91525406,7.24275684,9,3,26.2,3640,0,0.010419261
54,Denmark,Denmark,DNK,Europe & Central Asia,10.09899135,53045.73861,NA,6.168000221,3.5,0.8976498,2.211076,NA,0,25.46919943,10.22716618,10,3,17.7,27312,1,0.389160749
56,Dominica,Dominica,DMA,Latin America & Caribbean,9.246009906,11872.40739,3.408580065,NA,12,1.077941,0.6234236,Maintain,0,NA,5.1857729,NA,NA,NA,NA,0,0
57,Dominican Republic,Dominican Republic,DOM,Latin America & Caribbean,3.947079853,15328.35206,NA,7.605000019,14.5,0.2367064,-0.8184461,Maintain,0,10.28874596,5.78464127,8,2,45.3,615,0,0
58,Ecuador,Ecuador,ECU,Latin America & Caribbean,2.400299101,11896.37663,4.998700142,3.615999937,50.5,-0.1439559,-0.6712533,Lower,0,14.42952263,8.58845711,5,2,52.8,121511,0,4.329274975
60,El Salvador,El Salvador,SLV,Latin America & Caribbean,0.686271613,8143.016917,3.909879923,3.997999907,16.5,-0.0169974,-0.4236757,NA,0,16.49739912,7.63034058,8,2,16.5,46,0,0
61,Equatorial Guinea,Equatorial Guinea,GNQ,Sub-Saharan Africa,1.280974132,28313.60276,NA,6.644000053,150,-0.2053524,-1.765891,Maintain,0,21.92151289,2.91533971,-6,1,NA,NA,1,13.46796372
62,Eritrea,Eritrea,ERI,Sub-Saharan Africa,NA,NA,NA,5.337999821,84,-0.8767513,-1.301143,NA,0,NA,4.4600234,-7,0,65.9,2549,NA,NA
63,Estonia,Estonia,EST,Europe & Central Asia,15.41630922,31221.52396,5.106850147,6.186999798,3.5,0.6209198,1.293648,Maintain,0,19.98306725,6.34629202,9,3,45.8,158,1,0.282195208
